id,name
1,La Terraza Films
2,FremantleMedia Italia
3,Krátký film Praha – Studio loutkového filmu Gottwaldov
4,Françoise Films
5,Talkback Thames
6,JTP Films
7,Filmalpha
8,The Sokolow Company
9,IM Global Octane
10,Cofinova 7
11,Sumitomo Corporation
12,Juno Pix
13,Entcorp Communications
14,Khartoum
15,Particular Pictures
16,The Kennedy/Marshall Company
17,Telecable Benelux B.V.
18,Opa People
19,Empty Box Productions
20,Studio Légende
21,Movie Walker
22,Filmes do Equador
23,Thomas Carter Company
24,Miracle Bus
25,Alta Producción
26,A Han.Bok Dream Production
27,Front Street Films
28,Documentary Channel
29,Aconit Pictures
30,Intandem Films
31,Movie Ventures
32,B2Y Productions
33,MCMC
34,Madison 23
35,Square Head Pictures
36,Société Parisienne de Production
37,Rodriguez International Pictures
38,Egg Pictures
39,Filmlance International
40,Fox International Productions
41,Mount Moriah
42,5656 Films
43,Sara Films
44,October Films
45,RSVP Productions
46,Pilgrim Media Group
47,Grafo Audiovisual
48,Highland Films
49,Camerimage Festival
50,Wunderbar Films
51,Mook Animation
52,Allied Pinocchio Productions
53,Philippe Martinez Productions
54,Romulus Films
55,Intesa San Paolo
56,DandeLion Animation Studio
57,Vanguard Animation
58,Hurricane Pictures
59,Pink Moment Productions
60,Concordia Studio
61,Igloolik Isuma Productions Inc.
62,Shoreline Entertainment
63,Mandragora Movies
64,Red Production
65,Kanoon
66,Opening Night Productions
67,Pontas Film & Literary Agency
68,The Chess Club
69,We Pictures
70,Bootleg Universe
71,Chuck Productions
72,Roas Produzioni
73,Blue Tulip Productions
74,Casé Filmes
75,Capitol Films
76,Further Pictures
77,Heller Highwater Pictures
78,Napoleon Pictures Limited
79,Furthur Films
80,Ponto Filmes
81,Tipping Point Productions
82,Cine de Garage
83,Tito Clint Movies
84,Desertlands Entertainment
85,Henson Associates
86,Film Makers
87,AIC PLUS+
88,Equity Pictures Medienfonds GmbH & Co. KG IV
89,Sol's Luncheonette
90,Trinacra Films
91,Quidam Studios
92,Floren Shieh Productions
93,Picture Machine
94,Dog Park Pictures
95,Studio Images 2
96,Guru Dutt Films Pvt. Ltd.
97,Tecmo
98,Comedy Central Films
99,Film House Bas Celik
100,Produzione Salvo D'Angelo
101,Machaco Films
102,Cormoran Films
103,Wildcard Distribution
104,Majgaard
105,SHAFT
106,Idéacom International
107,CAA
108,Microwave Film
109,Venus Records & Tapes
110,Jesse Films Inc.
111,Telecinco Cinema
112,Dean Hargrove Productions
113,72nd Street Productions
114,Vill Lee Film
115,Kaninga Pictures
116,Rampage VFX
117,Plantain Films
118,Cine4
119,Ciskul
120,Ad hoc Studios
121,Danny Thomas Enterprises
122,Banger Films
123,SPD Films
124,The Foul King 2000
125,Cinet
126,Freibeuterfilm
127,Sellers-Edwards productions
128,Boo Pictures
129,Silverback Films
130,GFA Entertainment
131,Sci-Fi Channel
132,Spy Films
133,Neway Star Pictures
134,Shooting Script Films
135,Keshet Productions
136,Jay Film
137,Fearmakers Studios
138,Stardust Frames
139,A Wooten & Cherry Production
140,Cinema Shares International Distribution
141,River Bend Pictures
142,Industrias Audiovisuales Argentinas S.A.
143,Tatira-Hiller Productions
